player_name,team,position,overall,speed,strength,agility,change_of_direction,injury,awareness,id,firstName,lastName,birthdate,height,weight,overallRating,college,handedness,age,jerseyNum,yearsPro,avatarUrl,archetype,iteration_id,iteration_label,stats_acceleration_value,stats_acceleration_diff,stats_agility_value,stats_agility_diff,stats_jumping_value,stats_jumping_diff,stats_stamina_value,stats_stamina_diff,stats_strength_value,stats_strength_diff,stats_awareness_value,stats_awareness_diff,stats_bCVision_value,stats_bCVision_diff,stats_blockShedding_value,stats_blockShedding_diff,stats_breakSack_value,stats_breakSack_diff,stats_breakTackle_value,stats_breakTackle_diff,stats_carrying_value,stats_carrying_diff,stats_catchInTraffic_value,stats_catchInTraffic_diff,stats_catching_value,stats_catching_diff,stats_changeOfDirection_value,stats_changeOfDirection_diff,stats_deepRouteRunning_value,stats_deepRouteRunning_diff,stats_finesseMoves_value,stats_finesseMoves_diff,stats_hitPower_value,stats_hitPower_diff,stats_impactBlocking_value,stats_impactBlocking_diff,stats_injury_value,stats_injury_diff,stats_jukeMove_value,stats_jukeMove_diff,stats_kickAccuracy_value,stats_kickAccuracy_diff,stats_kickPower_value,stats_kickPower_diff,stats_kickReturn_value,stats_kickReturn_diff,stats_leadBlock_value,stats_leadBlock_diff,stats_manCoverage_value,stats_manCoverage_diff,stats_mediumRouteRunning_value,stats_mediumRouteRunning_diff,stats_overall_value,stats_overall_diff,stats_passBlock_value,stats_passBlock_diff,stats_passBlockFinesse_value,stats_passBlockFinesse_diff,stats_passBlockPower_value,stats_passBlockPower_diff,stats_playAction_value,stats_playAction_diff,stats_playRecognition_value,stats_playRecognition_diff,stats_powerMoves_value,stats_powerMoves_diff,stats_press_value,stats_press_diff,stats_pursuit_value,stats_pursuit_diff,stats_release_value,stats_release_diff,stats_runBlock_value,stats_runBlock_diff,stats_runBlockFinesse_value,stats_runBlockFinesse_diff,stats_runBlockPower_value,stats_runBlockPower_diff,stats_runningStyle_value,stats_runningStyle_diff,stats_shortRouteRunning_value,stats_shortRouteRunning_diff,stats_spectacularCatch_value,stats_spectacularCatch_diff,stats_speed_value,stats_speed_diff,stats_spinMove_value,stats_spinMove_diff,stats_stiffArm_value,stats_stiffArm_diff,stats_tackle_value,stats_tackle_diff,stats_throwAccuracyDeep_value,stats_throwAccuracyDeep_diff,stats_throwAccuracyMid_value,stats_throwAccuracyMid_diff,stats_throwAccuracyShort_value,stats_throwAccuracyShort_diff,stats_throwOnTheRun_value,stats_throwOnTheRun_diff,stats_throwPower_value,stats_throwPower_diff,stats_throwUnderPressure_value,stats_throwUnderPressure_diff,stats_toughness_value,stats_toughness_diff,stats_trucking_value,stats_trucking_diff,stats_zoneCoverage_value,stats_zoneCoverage_diff,playerAbilities,identity_source
Robert Hunt,CAR,OL,82,66,89,60,51,90,90,21291,Robert,Hunt,1996-08-25,78,335,82,UL Lafayette,1,29,50,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/372.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,58,0,60,0,68,0,92,0,89,0,90,0,28,0,30,0,12,0,27,0,38,0,19,0,41,0,51,0,5,0,10,0,39,0,87,0,90,0,30,0,20,0,20,0,10,0,88,0,12,0,5,0,82,0,78,0,75,0,80,0,6,0,26,0,29,0,10,0,25,0,12,0,86,0,88,0,84,0,Long Stride Default,0,12,0,26,0,66,0,10,0,15,0,39,0,6,0,6,0,6,0,6,0,25,0,14,0,87,0,36,0,15,0,,rosters.csv
Sam Darnold,SEA,QB,82,81,60,80,77,90,79,13097,Sam,Darnold,1997-06-05,75,225,82,USC,1,28,14,7,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8861.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,82,0,80,0,67,0,86,0,60,0,79,0,81,0,31,0,72,0,58,0,57,0,16,0,37,0,77,0,11,0,10,0,28,0,22,0,90,0,66,0,14,0,18,0,10,0,19,0,24,0,13,0,82,0,19,0,19,0,14,0,84,0,20,0,10,0,20,0,39,0,12,0,25,0,10,0,15,0,Default,0,14,0,44,0,81,0,52,0,46,0,36,0,92,0,88,0,90,0,89,0,88,0,89,0,91,0,44,0,35,0,,rosters.csv
T.J. Edwards,CHI,LB,82,85,72,81,75,90,85,20591,T.J.,Edwards,1996-08-12,72,228,82,Wisconsin,1,29,53,6,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9449.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,84,0,81,0,79,0,95,0,72,0,85,0,35,0,74,0,31,0,31,0,65,0,52,0,72,0,75,0,5,0,57,0,81,0,86,0,90,0,30,0,20,0,20,0,10,0,17,0,69,0,5,0,82,0,45,0,45,0,45,0,28,0,85,0,62,0,44,0,92,0,12,0,45,0,45,0,45,0,Default Stride Loose,0,15,0,48,0,85,0,30,0,50,0,89,0,32,0,36,0,39,0,41,0,42,0,33,0,85,0,47,0,73,0,,rosters.csv
Tariq Woolen,,,82,95,60,87,84,89,82,22247,Tariq,Woolen,1999-05-02,76,210,82,UTSA,1,26,27,3,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2054.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,96,0,87,0,94,0,92,0,60,0,82,0,62,0,50,0,16,0,53,0,62,0,62,0,82,0,84,0,40,0,34,0,61,0,53,0,89,0,71,0,18,0,24,0,45,0,15,0,68,0,42,0,82,0,35,0,35,0,35,0,6,0,81,0,29,0,85,0,71,0,44,0,35,0,35,0,35,0,Long Stride Loose,0,44,0,71,0,95,0,63,0,33,0,57,0,6,0,10,0,15,0,17,0,27,0,9,0,75,0,39,0,80,0,,ea
Travis Hunter,JAX,WR,82,93,61,95,96,88,74,15101,Travis,Hunter,2003-05-18,73,188,82,Colorado,1,22,12,0,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10599.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,94,0,95,0,96,0,99,0,61,0,74,0,86,0,55,0,33,0,76,0,70,0,83,0,85,0,96,0,81,0,44,0,71,0,58,0,88,0,86,0,23,0,26,0,78,0,32,0,82,0,80,0,82,0,35,0,35,0,35,0,21,0,76,0,35,0,80,0,77,0,80,0,45,0,31,0,33,0,Default,0,82,0,86,0,93,0,82,0,59,0,68,0,24,0,26,0,31,0,31,0,41,0,24,0,93,0,50,0,84,0,,rosters.csv
Tremaine Edmunds,NYG,LB,82,86,75,85,78,92,88,13119,Tremaine,Edmunds,1998-05-02,76,251,82,Virginia Tech,1,27,49,7,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8875.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,86,0,85,0,85,0,90,0,75,0,88,0,40,0,75,0,12,0,29,0,48,0,36,0,73,0,78,0,5,0,73,0,85,0,81,0,92,0,49,0,14,0,20,0,10,0,17,0,65,0,5,0,82,0,45,0,45,0,45,0,6,0,86,0,61,0,37,0,87,0,15,0,45,0,45,0,45,0,Long Stride Loose,0,15,0,48,0,86,0,43,0,39,0,89,0,6,0,6,0,6,0,6,0,18,0,10,0,88,0,28,0,72,0,,rosters.csv
Abdul Carter,NYG,LB,81,88,80,86,77,87,82,15198,Abdul,Carter,2003-10-03,76,250,81,Penn State,1,21,51,0,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10516.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,91,0,86,0,86,0,85,0,80,0,82,0,52,0,79,0,25,0,39,0,46,0,33,0,43,0,77,0,10,0,83,0,77,0,84,0,87,0,53,0,20,0,23,0,25,0,20,0,50,0,15,0,81,0,45,0,45,0,45,0,25,0,80,0,79,0,44,0,83,0,23,0,40,0,40,0,40,0,Long Stride Default,0,20,0,33,0,88,0,45,0,45,0,76,0,18,0,18,0,18,0,16,0,22,0,27,0,93,0,44,0,55,0,,rosters.csv
Andrew DePaola,MIN,LS,81,75,75,80,71,90,70,2279,Andrew,DePaola,1987-07-28,73,229,81,Rutgers,1,38,42,13,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/7080.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,72,0,80,0,80,0,68,0,75,0,70,0,25,0,55,0,10,0,19,0,63,0,66,0,66,0,71,0,40,0,40,0,59,0,67,0,90,0,40,0,11,0,11,0,10,0,55,0,15,0,45,0,81,0,58,0,44,0,51,0,9,0,39,0,44,0,15,0,62,0,48,0,69,0,55,0,61,0,Default,0,49,0,61,0,75,0,35,0,39,0,62,0,9,0,9,0,9,0,9,0,38,0,10,0,72,0,31,0,20,0,,rosters.csv
Blake Cashman,MIN,LB,81,88,70,83,76,74,85,20693,Blake,Cashman,1996-05-10,73,237,81,Minnesota,1,29,51,6,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9415.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,90,0,83,0,89,0,85,0,70,0,85,0,20,0,75,0,12,0,12,0,52,0,30,0,50,0,76,0,5,0,63,0,83,0,82,0,74,0,29,0,14,0,19,0,10,0,20,0,69,0,5,0,81,0,45,0,45,0,45,0,6,0,84,0,58,0,48,0,87,0,18,0,45,0,45,0,45,0,Default,0,15,0,27,0,88,0,27,0,24,0,85,0,6,0,6,0,6,0,6,0,25,0,10,0,82,0,25,0,75,0,,rosters.csv
Brian Thomas Jr,JAX,WR,81,97,59,88,91,93,73,14648,Brian,Thomas Jr,2002-10-08,75,209,81,LSU,1,22,7,1,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10263.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,95,0,88,0,92,0,90,0,59,0,73,0,88,0,26,0,22,0,76,0,76,0,82,0,81,0,91,0,84,0,10,0,15,0,43,0,93,0,87,0,13,0,18,0,50,0,22,0,15,0,83,0,81,0,26,0,10,0,10,0,6,0,18,0,10,0,15,0,30,0,77,0,47,0,27,0,22,0,Long Stride Default,0,81,0,84,0,97,0,80,0,54,0,28,0,6,0,10,0,15,0,10,0,24,0,19,0,87,0,43,0,19,0,,rosters.csv
Bryan Anger,DAL,P,81,73,55,61,48,97,70,11594,Bryan,Anger,1988-10-06,75,202,81,California,1,36,5,13,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/5023.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,75,0,61,0,75,0,85,0,55,0,70,0,22,0,17,0,32,0,26,0,60,0,43,0,65,0,48,0,15,0,14,0,22,0,22,0,97,0,54,0,89,0,93,0,10,0,16,0,11,0,15,0,81,0,19,0,19,0,19,0,20,0,28,0,12,0,10,0,39,0,15,0,25,0,17,0,17,0,Default Stride Awkward,0,15,0,35,0,73,0,35,0,10,0,34,0,25,0,30,0,30,0,20,0,50,0,15,0,82,0,25,0,25,0,,rosters.csv
Cam Skattebo,NYG,RB,81,85,83,87,85,93,78,14807,Cam,Skattebo,2002-02-05,70,216,81,Arizona St.,1,23,44,0,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10732.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,90,0,87,0,92,0,94,0,83,0,78,0,84,0,40,0,57,0,88,0,90,0,56,0,72,0,85,0,52,0,35,0,43,0,51,0,93,-1,82,0,58,0,66,0,83,0,47,0,19,0,55,0,81,0,57,0,42,0,46,0,51,0,18,0,32,0,17,0,47,0,61,0,48,0,34,0,33,0,Default,0,63,0,57,0,85,0,73,0,82,0,45,0,52,0,55,0,58,0,59,0,63,0,50,0,95,0,95,0,22,0,,rosters.csv
Dalton Kincaid,BUF,TE,81,86,71,67,79,87,84,22823,Dalton,Kincaid,1999-10-18,76,240,81,Utah,1,25,86,2,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2277.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,90,0,67,0,90,0,84,0,71,0,84,0,75,0,35,0,17,0,67,0,76,0,81,0,92,0,79,0,71,0,10,0,41,0,62,0,87,0,73,0,19,0,21,0,39,0,56,0,16,0,71,1,81,0,58,0,58,0,54,0,6,0,17,0,10,0,23,0,33,0,75,0,60,0,60,0,57,0,Long Stride High and Tight,0,76,0,84,0,86,0,61,0,63,0,37,0,6,0,10,0,15,0,10,0,25,0,10,0,83,0,67,0,20,0,,rosters.csv
Daniel Jones,IND,QB,81,87,67,83,75,83,85,20427,Daniel,Jones,1997-05-27,77,230,81,Duke,1,28,17,6,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9537.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,83,0,80,0,83,0,67,0,85,-1,89,0,22,0,73,0,71,0,56,0,26,0,38,0,75,0,12,0,10,0,14,0,24,0,83,0,71,0,50,0,60,0,10,0,23,0,13,0,13,0,81,1,15,0,15,0,18,0,84,0,19,0,10,0,10,0,31,0,11,0,15,0,12,0,17,0,Default Stride High and Tight,0,14,0,41,0,87,0,54,0,45,0,24,0,81,0,86,0,95,5,84,0,87,0,87,0,94,0,55,0,18,0,,rosters.csv
DaQuan Jones,,,81,70,88,62,50,93,91,12336,DaQuan,Jones,1991-12-17,76,320,81,Penn State,1,33,92,11,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/6474.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,65,0,62,0,69,0,81,0,88,0,91,0,10,0,82,0,12,0,10,0,39,0,15,0,24,0,50,0,4,0,69,0,80,0,89,0,93,0,10,0,17,0,7,0,10,0,17,0,24,0,8,0,81,0,45,0,45,0,45,0,6,0,94,0,84,0,19,0,82,0,15,0,45,0,45,0,45,0,Default Stride Awkward,0,15,0,15,0,70,0,10,0,20,0,83,0,6,0,6,0,6,0,6,0,16,0,14,0,84,0,15,0,36,0,,ea
Deommodore Lenoir,SF,DB,81,91,59,83,81,91,83,21454,Deommodore,Lenoir,1999-10-06,70,200,81,Oregon,1,25,2,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1205.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,93,0,83,0,83,0,90,0,59,0,83,0,69,0,44,0,10,0,49,0,59,0,53,0,73,0,81,0,30,0,38,0,78,0,53,0,91,0,74,0,17,0,22,0,64,0,28,0,76,0,32,0,81,0,37,0,37,0,37,0,6,0,82,0,34,0,78,0,76,0,41,0,35,0,35,0,35,0,Short Stride Loose,0,35,0,56,0,91,0,67,0,41,0,67,0,6,0,6,0,6,0,6,0,25,0,10,0,87,0,42,0,85,0,,rosters.csv
Grady Jarrett,CHI,DL,81,72,90,68,59,82,84,2549,Grady,Jarrett,1993-04-28,72,294,81,Clemson,1,32,50,10,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/7185.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,76,0,68,0,76,0,82,0,90,0,84,0,15,0,83,0,12,0,10,0,40,0,15,0,30,0,59,0,3,0,68,0,86,0,90,0,82,0,10,0,25,0,25,0,10,0,37,0,25,0,7,0,81,0,45,0,45,0,45,0,6,0,82,0,77,0,15,0,83,0,15,0,45,0,45,0,45,0,Default Stride Awkward,0,15,0,15,0,72,0,10,0,35,0,86,0,6,0,6,0,6,0,6,0,26,0,18,0,82,0,20,0,29,0,,rosters.csv
Harrison Butker,KC,K,81,74,44,54,46,86,70,12863,Harrison,Butker,1995-07-14,76,205,81,Georgia Tech,1,30,7,8,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8498.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,76,0,54,0,65,0,82,0,44,0,70,0,28,0,12,0,14,0,14,0,26,0,10,0,30,0,46,0,10,0,10,0,12,0,15,0,86,0,28,0,87,0,96,0,10,0,15,0,15,0,10,0,81,0,19,0,15,0,16,0,20,0,17,0,10,0,10,0,12,0,12,0,18,0,20,0,15,0,Default Stride Awkward,0,10,0,12,0,74,0,15,0,16,0,15,0,25,0,25,0,33,0,20,0,27,0,24,0,63,0,17,0,15,0,,rosters.csv
Ikem Ekwonu,CAR,OL,81,75,93,57,56,93,76,22439,Ikem,Ekwonu,2000-10-31,76,320,81,N.C. State,0,24,79,3,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1560.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,78,0,57,0,72,0,88,0,93,0,76,0,16,0,44,0,14,0,17,0,40,0,14,0,32,0,56,0,5,0,35,0,55,0,93,0,93,0,10,0,23,0,27,0,10,0,86,0,12,0,5,0,81,0,77,1,74,1,82,0,6,0,35,0,42,0,10,0,45,0,12,0,86,0,88,0,84,0,Default Stride Awkward,0,10,0,15,0,75,0,10,0,30,0,45,0,6,0,6,0,6,0,6,0,23,0,11,0,97,0,28,0,14,0,,rosters.csv
Isiah Pacheco,DET,RB,81,93,80,86,83,88,80,22334,Isiah,Pacheco,2000-03-02,70,216,81,Rutgers,1,25,10,3,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1875.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,95,0,86,0,84,0,91,0,80,0,80,0,83,0,37,0,32,0,83,0,95,0,47,0,70,0,83,0,49,0,18,0,42,0,42,0,88,0,84,0,14,0,22,0,80,0,30,0,19,0,56,0,81,0,54,0,33,0,38,0,24,0,26,0,13,0,23,0,40,0,50,0,34,0,27,0,20,0,None,0,63,0,46,0,93,0,78,0,78,0,37,0,22,0,27,0,34,0,33,0,38,0,26,0,89,0,86,0,32,0,,rosters.csv
Jake Elliott,PHI,K,81,76,34,64,52,86,68,12809,Jake,Elliott,1995-01-21,69,167,81,Memphis,1,30,4,8,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8542.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,78,0,64,0,52,0,82,0,34,0,68,0,18,0,26,0,14,0,14,0,33,0,19,0,27,0,52,0,12,0,10,0,25,0,18,0,86,0,16,0,87,0,97,0,10,0,13,0,20,0,15,0,81,0,20,0,17,0,17,0,20,0,18,0,10,0,10,0,39,0,16,0,20,0,16,0,16,0,Short Stride Awkward,0,20,0,17,0,76,0,10,0,12,0,27,0,15,0,19,0,33,0,24,0,28,0,15,0,57,0,11,0,14,0,,rosters.csv
Jauan Jennings,MIN,WR,81,88,78,78,76,88,92,21073,Jauan,Jennings,1997-07-10,75,212,81,Tennessee,1,28,15,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/391.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,78,0,95,0,84,0,78,0,92,0,86,0,30,0,51,0,84,0,73,0,86,0,89,0,76,0,75,0,10,0,31,0,59,0,88,0,78,0,17,0,18,0,33,0,45,0,11,0,79,0,81,0,34,0,20,0,25,0,42,0,14,0,10,0,21,0,33,0,81,0,67,0,40,0,40,0,Long Stride Default,0,82,0,88,0,88,0,69,0,77,0,30,0,45,0,51,0,56,0,51,0,68,0,48,0,78,0,66,0,17,0,,rosters.csv
Jaylen Warren,PIT,RB,81,90,74,80,83,88,83,22471,Jaylen,Warren,1998-11-01,68,215,81,Oklahoma St.,1,26,30,3,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2012.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,94,0,80,0,74,0,83,0,74,0,83,0,87,0,26,0,24,0,85,0,92,0,63,0,71,0,83,0,56,0,12,0,23,0,52,0,88,0,86,0,20,0,21,0,66,0,48,0,14,0,58,0,81,0,56,0,29,0,28,0,15,0,20,0,11,0,16,0,34,0,59,0,50,0,37,0,37,0,Short Stride High and Tight,0,61,0,59,0,90,0,82,0,75,0,34,0,18,0,21,0,24,0,19,0,27,0,17,0,86,0,74,0,19,0,,rosters.csv
Jihaad Campbell,PHI,LB,81,89,72,87,81,88,79,15268,Jihaad,Campbell,2004-02-24,75,235,81,Alabama,1,21,30,0,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10514.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,91,0,87,0,85,0,87,0,72,0,79,2,52,0,73,0,23,0,38,0,62,0,56,0,66,0,81,0,27,0,62,0,84,0,74,0,88,0,56,0,20,0,22,0,10,0,26,0,69,0,30,0,81,1,45,0,45,0,45,0,6,0,77,2,56,0,54,0,87,0,32,0,45,0,45,0,45,0,Default Stride Loose,0,35,0,60,0,89,0,50,0,46,0,87,0,6,0,6,0,6,0,6,0,25,0,12,0,89,0,42,0,75,0,,rosters.csv
John Simpson,BAL,OL,81,70,92,51,49,89,86,21103,John,Simpson,1997-08-19,76,324,81,Clemson,1,28,76,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/571.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,67,0,51,0,74,0,89,0,92,0,86,0,22,0,27,0,12,0,12,0,42,0,15,0,32,0,49,0,6,0,10,0,38,0,86,0,89,0,10,0,22,0,35,0,10,0,83,0,12,0,10,0,81,0,77,0,72,0,79,0,6,0,17,0,27,0,10,0,27,0,15,0,83,0,80,0,85,0,Default Stride Awkward,0,20,0,15,0,70,0,20,0,35,0,31,0,6,0,6,0,6,0,6,0,14,0,15,0,90,0,25,0,12,0,,rosters.csv
Jonathon Cooper,DEN,LB,81,85,79,76,68,90,87,21684,Jonathon,Cooper,1998-01-08,76,257,81,Ohio State,1,27,0,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/910.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,76,0,80,0,86,0,79,0,87,1,23,0,82,-1,17,0,29,0,31,0,21,0,44,0,68,0,5,0,77,1,78,0,85,0,90,0,31,0,17,0,18,0,10,0,24,0,38,0,10,0,81,0,45,0,45,0,45,0,6,0,86,1,84,1,49,0,86,0,12,0,45,0,45,0,45,0,Default Stride Loose,0,15,0,23,0,85,0,23,0,36,0,83,0,5,0,6,0,7,0,6,0,17,0,14,0,77,0,27,0,49,0,,rosters.csv
Josh Harris,LAC,LS,81,77,68,74,70,95,71,11807,Josh,Harris,1989-04-27,73,224,81,Auburn,1,36,47,13,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/5218.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,75,0,74,0,76,0,75,0,68,0,71,0,55,0,42,0,15,0,25,0,71,0,62,0,55,0,70,0,38,0,10,0,55,0,71,0,95,0,40,0,13,0,23,0,10,0,55,0,22,0,43,0,81,0,56,0,40,0,51,0,10,0,40,0,10,0,15,0,38,0,23,0,56,0,50,0,55,0,Default,0,48,0,56,0,77,0,45,0,55,0,56,0,10,0,10,0,10,0,10,0,25,0,10,0,85,0,53,0,21,0,,rosters.csv
Jourdan Lewis,JAX,DB,81,89,67,85,84,89,86,12555,Jourdan,Lewis,1995-08-31,70,195,81,Michigan,1,30,2,8,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8641.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,88,0,85,0,85,0,88,0,67,0,86,0,73,0,58,0,16,0,66,0,65,0,73,0,73,0,84,0,15,0,36,0,66,0,61,0,89,0,78,0,26,0,26,0,81,0,10,0,83,0,22,0,81,0,35,0,35,0,35,0,6,0,84,0,27,0,82,0,78,0,26,0,35,0,35,0,35,0,Short Stride Default,0,32,0,77,0,89,0,73,0,38,0,69,0,6,0,6,0,6,0,6,0,24,0,10,0,84,0,38,0,79,0,,rosters.csv
Ka'imi Fairbairn,HOU,K,81,79,39,64,53,82,69,17759,Ka'imi,Fairbairn,1994-01-29,72,183,81,UCLA,1,31,15,9,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8000.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,82,0,64,0,69,0,89,0,39,0,69,0,15,0,13,0,15,0,15,0,45,0,20,0,37,0,53,0,15,0,10,0,17,0,17,0,82,0,10,0,89,0,96,0,10,0,17,0,14,0,15,0,81,0,15,0,15,0,15,0,20,0,21,0,10,0,10,0,22,0,15,0,20,0,17,0,17,0,Default Stride Awkward,0,15,0,25,0,79,0,10,0,10,0,35,0,25,0,30,0,35,0,20,0,39,0,15,0,65,0,10,0,20,0,,rosters.csv
Kamari Lassiter,HOU,DB,81,92,52,94,88,93,81,14929,Kamari,Lassiter,2003-01-23,72,180,81,Georgia,1,22,4,1,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/10147.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,90,0,94,0,87,0,91,0,52,0,81,0,70,0,40,0,21,0,65,0,54,0,57,0,67,0,88,0,55,0,30,0,75,0,42,0,93,0,77,0,12,0,16,0,64,0,15,0,81,0,50,0,81,0,30,0,24,0,23,0,15,0,84,0,26,0,73,0,74,0,41,0,35,0,28,0,27,0,Default Stride Loose,0,49,0,62,0,92,0,72,0,35,0,68,0,6,0,11,0,16,0,14,0,35,0,11,0,79,0,27,0,84,0,,rosters.csv
Kamren Curl,,,81,88,70,83,81,93,82,21012,Kamren,Curl,1999-03-31,74,198,81,Arkansas,1,26,3,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/225.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,89,0,83,0,83,0,91,0,70,0,82,0,63,0,61,0,10,0,51,0,55,0,54,0,65,0,81,0,27,0,53,0,79,0,57,0,93,0,69,0,17,0,22,0,59,0,12,0,72,0,31,0,81,0,35,0,35,0,35,0,10,0,81,0,44,0,73,0,86,0,30,0,35,0,35,0,35,0,Short Stride Loose,0,38,0,62,0,88,0,58,0,36,0,82,0,10,0,10,0,10,0,10,0,20,0,10,0,91,0,34,0,75,0,,ea
Kevin Byard III,NE,DB,81,88,73,87,83,97,83,17752,Kevin,Byard III,1993-08-17,71,218,81,Mid Tenn St.,0,32,31,9,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/7928.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,87,0,90,0,96,0,73,0,83,0,67,0,64,0,10,0,59,0,78,0,47,0,82,0,83,0,10,0,53,0,79,0,60,0,97,0,72,0,19,0,20,0,55,0,15,0,66,0,12,0,81,0,12,0,33,0,34,0,17,0,81,0,47,0,67,0,85,0,22,0,16,0,33,0,34,0,Default Stride Loose,0,31,0,68,0,88,0,60,0,48,0,80,0,36,0,26,0,31,0,18,0,44,0,26,0,90,0,52,0,77,0,,rosters.csv
Mike McGlinchey,DEN,OL,81,71,88,67,49,88,89,13116,Mike,McGlinchey,1995-01-12,80,315,81,Notre Dame,1,30,69,7,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8987.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,67,0,67,0,71,0,93,0,88,0,89,0,10,0,32,0,12,0,11,0,33,0,17,0,28,0,49,0,8,0,10,0,38,0,84,0,88,0,10,0,12,0,15,0,10,0,85,0,11,0,10,0,81,0,77,0,74,0,81,0,6,0,20,0,10,0,10,0,27,0,14,0,86,0,87,0,85,0,Long Stride Awkward,0,15,0,15,0,71,0,10,0,10,0,32,0,6,0,6,0,6,0,6,0,11,0,15,0,95,0,22,0,13,0,,rosters.csv
